# Constructed from biom file																																																																																																																										
#OTU ID	AF001	AF002	AF003	AF004	AF005	AF006	AF007	AF008	AF009	AF010	AF011	AF012	AF013	AF014	AF015	AF016	AF017	AF018	AF019	AF020	AF021	AF022	AF023	AF024	AF025	AF026	AF027	AF028	AF029	AF030	AF031	AF032	AF033	AF034	AF035	AF036	AF037	AF038	AF039	AF040	AF041	AF042	AF043	AF044	AF045	AF046	AF047	AF048	AF049	AF050	AF051	AF052	AF053	AF054	AF055	AF056	AF057	AF058	AF059	AF060	AF061	AF062	AF063	AF064	AF065	AF066	AF067	AF068	AF069	AF070	AF071	AF072	AF073	AF074	AF075	AF076	AF077	AF078	AF079	AF080	AF081	AF082	AF083	AF084	AF085	AF086	AF087	AF088	AF089	AF090	AF091	AF092	AF093	AF094	AF095	AF096	AF097	AF098	AF099	AF100	AF101	AF102	AF103	AF104	AF105	AF106	AF107	AF108	AF109	AF110	AF111	AF112	AF113	AF114	AF115	AF116	AF117	AF118	AF119	AF120	AF121	AF122
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermabacteraceae|g__Dermabacteraceae_unclassified	0	0	0.01848235	0	0	0	0	0.03579705	0	0.02500065	0	0	0	0	0	0	0	0	0.02786375	0.0153127	0	0	0.0334664	0	0	0	0	0.0247213	0	0	0	0	0	0	0	0.03064625	0	0	0.00121295	0	0	0	0	0.0047051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0234549	0	0	0	0	0	0	0	0	0.04527495	0	0	0	0	0.05911055	0	0	0	0	0.0019452	0	0	0	0.0198485	0	0	0	0	0	0	0	0	0	0	0	0	0.11517175	0	0	0	0.0179326	0	0.0059972	0.0136605	0	0	0	0	0	0	0	0	0	0.0843048	0	0	0	0	0.04080945	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermacoccaceae|g__Kytococcus	0	0	0.00454675	0	0	0	0	0.0050768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae|g__Dermatophilaceae_unclassified	0	0	0.01185335	0	0.01564355	0.04879815	0	0.02841875	0	0	0	0.07490005	0	0	0.01999755	0	0	0	0	0.01760945	0	0.00910165	0.03456095	0	0	0	0	0	0	0	0	0	0	0	0	0.03460435	0	0	0.00114565	0	0	0	0	0.011403	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0212754	0	0	0.06034795	0	0.0534185	0	0	0.01938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0151562	0	0.0225348	0	0	0	0	0	0.01980035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01053135	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dietziaceae|g__Dietzia	0	0	0	0	0	0	0	0.0010357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01018455	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00108315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Geodermatophilaceae|g__Geodermatophilaceae_unclassified	0.00034	0	0	0	0.00263455	0	0.0125717	0	0	0	0	0.00782325	0	0	0	0	0.00482925	0	0.0036291	0.0080039	0	0	0	0	0	0	0	0.00443305	0	0	0.00247405	0	0	0	0.01360625	0	0	8.745e-05	0	0	0	0	0	0.01843555	0.0093675	0	0	0	0.00023535	0	0	0.0026911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00059725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00213815	0.0018602	0	0	0	0	0.00020735	0	0	0	0.229792	0	0	0	0.0021917	0	0	0	0	0	0	0	0.0324601	0.00266555
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Intrasporangiaceae|g__Janibacter	0	0	0.0009502	0	0	0	0	0.0031787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00250935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Intrasporangiaceae|g__Serinicoccus	0	0	0	0	0	0	0	0.02787665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00217795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0132276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Intrasporangiaceae|g__Tetrasphaera	0	0	0	0	0	0	0	0.01054865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Clavibacter	0.00053055	0	0.0051034	0	0	0	0	0	0	0.0361553	0	0	0	0	0	0	0	0	0.00803035	0	0	0.0013695	0	0	0.0104281	0	0	0.01753355	0	0	0.0030177	0	0	0	0	0	0	0	0	0	0	0.0061896	0	0.00159945	0.0727186	0	0	0	0.0015631	0.00089635	0	0.0008905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00375605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0052415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0072483	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Curtobacterium	0	0.00156185	0.0003165	0	0	0	0	0.000664	0	0.01167315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0030895	0.0032523	0	0	0	0	0	0	0	0.0002299	0	0	0	0	0	0	0.01266645	0	0	0	0.0002821	0	0	0.01456505	0	0.0077105	0	0	0	0	0	0.00142985	0.0097978	0	0.00055805	0	0	0	0.00378725	0	0	0	0.007528	0.0066967	0	0	0	0	0	0	0	0.0017743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0049483	0	0	0	0	0	0	0	0.010346	0	0	0	0.00111985	0	0	0	0.01507975	0	0	0	0	0	0	0	0
