# Constructed from biom file																																		
#Sample ID	A2	A5	A7	A9	A10	A11	A16	A17	A18	A19	A22	A23	B6	B8	B12	B28	B29	B30	B32	B34	B35a	B35b	B37	B39	B42	B44	B47	B49	B51	C53	C54	C57	C60	C62
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter	0.01458	0	0.04175	0	0.21069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.063	0.02327	0	0	0.00768	0.01301	0.03848	0	0.23379	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae|g__Cardiobacteriaceae_unclassified	0.01206	0	0.05638	0	0	0	0	0	0	0	0	0	0	0	0.0268	0	0.00481	0	0	0.17989	0.03094	0.04738	0	0	0	0	0	0.0659	0	0	0	0	0.04201	0.01567
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae|g__Cardiobacterium	0	0	0.0121	0	0.66723	0	0	0	0	0	0	0	0	0	0.03323	0	0.10713	0	0	0.20314	0.2646	0.13421	0	0	0	0.68928	0	0.30919	0	0	0	0	0	0.06078
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter	0	0.02808	0	3.10991	0	0	0.18479	0	0	0	0	0	0	55.20107	0	0	0.02657	0.01438	0.0756	0.0056	0.0017	0.00643	0	0.00762	0	0.01654	0	0	0	0	0	0.03537	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter	0.06088	23.72858	0.03534	0.14876	0.12054	1.08039	0.53876	0.04628	0.00597	32.78976	44.371	1.37405	0.08124	2.6477	51.11203	0	0.00181	0.00547	0	0	0.00272	0.86748	4.7831	0	0	0	1.62141	0	0	0	0	1.03906	0	0.02123
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	0	0.26469	0.07126	0	0	0	0	0.81716	0	1.44845	1.10313	0	0	0.28096	0	0	0	0	0	0	0	0	0.05801	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella	0.03415	0.10868	1.43163	50.31796	0.22838	1.20947	81.49865	0.30572	0.02205	0.21874	0.02017	3.91545	1.05828	0.04237	0.13274	0.45983	0.01834	3.54232	18.25613	0.01782	0.38731	62.98912	0.04447	31.61841	17.6533	0.00362	0	0.00659	0.01241	0	1.12575	0.66775	72.82718	0.05102
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Kosakonia	0	0	0	0	0	0	0	0.34539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Raoultella	0	0	0	0	0.00659	0	0	16.86989	0	0	0	0	0	0	0	0	0	0	0	0.00286	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Serratia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75.76558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Actinobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02477	0	0	0	0.01124	0	0	0	0.01704	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter	0.08197	0	0.00664	0	0.00746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01078	0	0	0	0	0	0.01262	0	0.00396	0	0	0	0	0	1.0236
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	2.76272	0	0.47014	0	0.56494	1.80911	0.0262	0	0	0	0.11382	11.03346	1.34297	0	0.18836	0.45261	0.11026	0.02741	0	2.07995	9.25041	1.21031	0.05397	0.67372	11.13513	2.27845	0	0.75447	0	0	0	0	0.19108	2.26554
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter	0.01807	43.52412	0	0.3064	0.06941	0	0.04713	1.86846	0	41.50887	12.5222	1.62592	0.03978	0.62462	0	3.25331	0	26.76084	0	0.03044	0.01502	0.01545	64.62209	0	0.01583	0.01383	0	0.00857	0.14193	35.77935	0	36.21288	0.02686	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Enhydrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49821	12.02333	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas	0	1.54499	0.3132	1.6775	0.29951	0	0.37867	7.68161	0	0.26681	1.06924	0	6.73985	24.14431	0.21191	1.10408	0.0336	7.30239	0.24428	0.01247	0	0.06125	16.46146	0	0.06911	0	8.6055	0	54.25222	4.09087	2.514	38.85138	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Sinobacteraceae|g__Sinobacteraceae_unclassified	0	0	0	0	0	0	0	0.02704	0.53083	0	0	0	0	0	0.15292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05076	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Pseudoxanthomonas	0	0	0	0	0	0	0	0	0.0065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas	0.09967	1.71423	0.0144	38.78924	0.35546	2.10607	0.05721	56.48543	0.03004	9.86812	38.97277	6.16513	1.35517	9.08413	0.08201	0.37068	0.03891	42.5163	0.13736	0.07871	0.04041	0.05755	0.37161	34.04493	0.05911	0.00963	0	0.00702	0.00794	0.01629	0	11.6649	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Xanthomonadaceae_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62136	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema	0	0	0	0	0.00444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00707	0	0	0	0	0	0	0	0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Fretibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05818	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Debaryomycetaceae_unclassified	0	0	0	0	0	0	0	0.01973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetales_noname|g__Candida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05948	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae|g__Myoviridae_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.78457	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__C2likevirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06104	0	0	0	0	0	0	0	0	0	0	0	0	0
