# Constructed from biom file																																		
#Sample ID	A2	A5	A7	A9	A10	A11	A16	A17	A18	A19	A22	A23	B6	B8	B12	B28	B29	B30	B32	B34	B35a	B35b	B37	B39	B42	B44	B47	B49	B51	C53	C54	C57	C60	C62
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Tannerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0067	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00943	0.2891	0.04274	0	0	0	0.0401	0	0.09471	0	0	0	0	0	0.0316
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	2.61993	0.01629	12.56523	0	0	12.04535	0	0	0	0	0	0	1.1893	0	0.16346	1.35992	0.07009	0	0	0.79361	4.04359	1.36967	0	0.36294	3.68428	0.42425	0	5.98362	0	0	2.15114	0	0	0.10074
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga	0.57634	0	0	0	0.66412	0	0	0	0	0	0	0	0	0	0	0.1485	0	0	0	0.19416	0.54448	0	0	0.01161	0	1.37375	0	0.02251	0	0	0	0	0	1.8285
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Chryseobacterium	0	8.25997	0	0.08361	0	0	0	0.04938	0	0	0	0	0	0.038	0	0	0	7.28545	0	0	0	0	0	0	0	0	0	0	0	0.17428	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Empedobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03074	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Riemerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium	0	0	0	0.02746	0	0	0	0.49128	0	0.08163	0	0	0	0.13809	0	0	0	0.63976	0	0	0	0	0	0	0	0	0	0	0	0.11954	0	0.42156	0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname|g__Candidatus_Saccharibacteria_noname	0.02218	0	0.03685	0	0.2937	0	0	0	0.02088	0	0	0	0	0	0	0.50727	0	0	0	0.06095	0.03354	0	0	0	0	1.19796	0	0.38499	0	0	0.73374	0	0	1.02634
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname|g__Candidatus_Saccharibacteria_noname_unclassified	0.02161	0	0	0.00588	0	0	0	0	0	0	0	0	0	0	0	0.04801	0.00722	0	0	0.04735	0.0125	0	0	0.00276	0	0	0	0	0	0	0	0	0.04244	0
