# Constructed from biom file																																		
#Sample ID	A2	A5	A7	A9	A10	A11	A16	A17	A18	A19	A22	A23	B6	B8	B12	B28	B29	B30	B32	B34	B35a	B35b	B37	B39	B42	B44	B47	B49	B51	C53	C54	C57	C60	C62
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_matruchotii	0.03064	0	0.00944	0	0.1075	0.03501	0	0	0	0	0	0.58739	0.29018	0	0.0012	2.27279	0.05259	0	0	0.02667	2.84897	0.24129	0	0.01549	0	1.10111	0	0.09633	0	0	2.31732	0	0	0.17121
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermabacteraceae|g__Brachybacterium|s__Brachybacterium_muris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermabacteraceae|g__Brachybacterium|s__Brachybacterium_unclassified	0	0	0	0	0	0	0	0	0	0.00887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_barkeri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73852	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_maritypicum	0	0.04349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Kocuria|s__Kocuria_rhizophila	0	0	0	0	0.15174	0	0	0	2.10619	0	0.86435	0	0.6375	0.01805	20.47083	0.12931	64.17246	1.06353	0.13032	0.00625	0.02159	0.04702	0.08345	0.02333	3.14565	0	0	0	0.4277	0.07044	0	0	0	1.16973
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Kocuria|s__Kocuria_unclassified	0	0	0	0	0	0	0	0	0.23758	0	0.30541	0	0	0.00762	1.81635	0.207	10.13549	0	0.0376	0.00735	0	0	0	0.01202	0.87657	0	0	0	0.02395	0	0	0	0	1.42145
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Micrococcus|s__Micrococcus_luteus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.38312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_aeria	0.44103	0	0	0.06261	2.22519	0	0	0	0	0.03187	0.00456	2.83505	1.93597	0.02231	0.02915	0.45559	0.02297	0	0	0.064	2.16343	1.78856	0.01842	0.02491	0.57474	3.42742	1.10022	0.7179	0.05185	0	0	0	0.02664	4.3348
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa	0.20233	0.01769	0.48128	0.00361	3.04194	3.54093	4.09871	0	0.64371	0.16247	0.04267	3.11839	1.25315	0.0535	0.83472	33.27547	0.32627	0	0.54515	0.17058	5.09527	4.36744	0.01865	0.16825	0.27606	4.37232	17.20178	0.6935	0.00885	0	1.72918	0	1.03093	0.76986
