	SRR059875	SRR059905	SRR060041	SRR060389	SRR061249	SRR061251	SRR061257	SRR062389	SRR1031063	SRR1031677	SRR1564324	SRR1565744	SRR1803853	SRR1803859	SRR1804260	SRR1804274	SRR1804292	SRR1804378	SRR1804718	SRR1804818	SRR1952524	SRR1952532	SRR1952557	SRR1952578	SRR2175813	SRR346700	SRR513376	SRR513802	SRR513813	SRR514204	SRR514244	SRR514849	SRR533811	SRR628262
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_saccharolytica	0	0	0.01043	0	0	0.099	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10812	0	0	0	0.09259	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_salivae	0.85187	0.18151	0	0	1.79596	0	0	0.6317	0	0.42234	0.10494	0	0	0	0.72659	0	1.16859	0	0	0	1.23745	0	0	0.50733	0	0.93303	0.49258	0.05581	0	0.00415	0.18008	1.36703	2.15446	0.1154
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_C561	0	0	0	0	1.75528	0	0	0	0	0	0	0	0	0	4.49094	0	4.66025	0	0	0	2.53978	0	0	0	0	2.10752	0	0	0	0	0.90974	0.341	0	1.05413
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_oral_taxon_306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.303	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_veroralis	0.02395	0.01507	0	0	0.00296	0	0	0.48107	0	0	0	0	0	0	0	0	0.00862	0	0	0	0.00777	0	0	0.32208	0	0.00113	0.04682	0	0.06632	0	0	0	0.04148	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_gingivalis	0.08317	0.05794	0.05549	0	0.36965	3.30923	7.62919	0.21436	0.33598	0.00568	0	0	1.31306	0.01055	0	0.52299	0.80666	0	2.22987	3.33331	0.02559	1.4798	0.00703	0	1.72007	0.03103	0	0.05384	2.83784	0.02858	0.00885	0.00016	0	0.59795
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_granulosa	0	0	0.02697	0.86683	0.00589	0.27216	4.50794	0	0	0	0	0	0.13434	0	0	0	0.70012	0	0.17837	0.04444	0.03021	0.12415	0.03198	0	0.17296	0.01364	0	0	0.23308	0.00143	0	0	0	0.04587
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_ochracea	0	0.06468	0.02734	0	0.00538	0.26835	0.40808	0	0	0	0	0	0.05	0	0	0	0	0	0.01533	0.04073	0	0.04385	0.00901	0	0.07936	0	0	0	0.04438	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_sp_CM59	0	0	0	0	0	0.63296	3.40876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_sp_oral_taxon_326	0	0	0	0	0	1.18038	2.68791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57537	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_sp_oral_taxon_329	0	0	0.53044	0	0	2.69017	2.83025	0	0	0	0	0	0	0	0	0	1.30581	0	0.5976	1.17737	0	1.82352	0	0	2.52879	0	0	0	2.65601	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_sp_oral_taxon_332	0	0	0	0	0	0	0.40429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_sp_oral_taxon_338	0	0	0	0	0	0.32281	0.37847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_sp_oral_taxon_863	0	0	0	0	0	0	0.66396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_sputigena	0	0	0	0	0	1.0843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.74883	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_unclassified	0.5109	2.14489	0.8786	0.23116	0.20859	1.6157	3.52734	1.62351	0.4541	0.06681	0	0.55878	2.78793	0.49116	0.01636	1.617	0	0.17351	1.66096	1.58462	0.16093	2.66591	0.86083	0.72162	7.97287	0.39725	0.24926	0.03797	0.58664	0.00235	0.01563	0.01029	0.0392	0.19296
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Riemerella|s__Riemerella_unclassified	0	0	0.60681	0	0.04759	0.12799	0.1466	0	0	0	0	0	0	0	0	0	0.01072	0	0.14231	0.26307	0	0.0923	0	0	0.03765	0	0	0.01459	0.22172	0.01452	0.02538	0	0	0.01139
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname|g__Candidatus_Saccharibacteria_noname|s__candidate_division_TM7_single_cell_isolate_TM7b	0.18101	0.32214	0	0	0.08032	0.08513	0	0.24463	0	0	0	0	0.01349	0	0.00435	0.10667	0.09883	0	0	0	0.01125	0.01006	0	0.05164	2.13099	0	0.09708	0	0.70616	0	0	0.00142	0	0.00159
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname|g__Candidatus_Saccharibacteria_noname|s__candidate_division_TM7_single_cell_isolate_TM7c	0.16348	0.4169	0	0	0.00696	0.13189	0	0.4695	0	0	0	0	0.01591	0	0.00039	0.16834	0.00362	0	0	0	0.00346	0.03974	0	0	2.72874	0	0.12271	0	0.72101	0	0	0.00035	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Gemella|s__Gemella_haemolysans	2.41041	10.90423	19.63365	12.66924	0.09828	0.10549	0.1371	0.41661	1.28124	0	0	0.17021	0	0.36379	0.0036	2.05946	0.01349	19.3188	0.07772	0.26896	0.04063	0.56595	9.71772	1.71848	0	0.23678	14.21021	0.05854	0.04682	1.24322	0.0014	0.00059	0	0.03034
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Gemella|s__Gemella_morbillorum	0.06204	0.35608	0.25603	0	0.12555	0.3761	0.1873	0	0	0	0	0	0	0.32549	0	0.13752	0.59584	0	0.49547	0	0.00383	0.10385	0.00177	0	0.08882	0.00255	0.08492	0	0.47932	0.00753	0	0	0	0.01392
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Gemella|s__Gemella_sanguinis	0.14927	0.12279	0.57116	0	1.31662	0.0012	0.00145	0.6204	0	0.61316	1.5199	0	0	0	0.39184	0	0.43689	0.01375	0.00929	0	0.60151	0	0	0.07052	0	1.22803	0.74533	0.66573	0	0.10277	0	0.04556	0.29331	0.47012
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Gemella|s__Gemella_unclassified	0.17864	1.10508	2.06658	0.56258	0	0	0	0.21144	0	0	0	0.32607	0	0	0	0	0	3.41016	0	0.0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia|s__Abiotrophia_defectiva	0.11433	0.18302	0.83517	0	0.03945	0	0.05543	0.02252	0.03075	0	0	0	0.69217	0.45529	0	0.1174	0	0.35035	0.89901	0.00251	0.00929	1.75926	1.47005	0	0.58327	0.02274	3.53439	0	0.13152	0	0	0	0.0248	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_adiacens	0.29384	1.03133	0.50254	0.17207	0.22632	0.23606	0.25832	0.34548	0.05241	0.16152	0.68572	0	0.10707	0.81548	0.36014	0.01003	0.05976	0.72853	0.8926	0.31206	0.2403	0.70316	0.31698	0.24729	0.19721	0.99488	0.85573	0.42086	0.29885	0.16194	0.67302	0.14293	0.57523	0.18746
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_elegans	0.87141	0.05936	2.37165	0.09811	0.00712	0.00145	0	0.13315	0	0	0	0	0	0.31421	0	0	0	0	0.00031	0	0.01673	0.00503	9.09039	0	0	0.05334	2.37636	0	0.00321	0.00322	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_unclassified	0.25451	0.37293	0.35842	0.75913	0.39592	0	0	1.04639	0.2552	0.61376	1.95249	0	0	0	1.10068	0.12013	0.19188	0.21917	0	0	0.70968	0	0.56581	0.0873	0	2.13035	0	1.23845	0	0.08364	2.70786	0.30314	1.77568	0.41268
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_helveticus	0	0	0	3.47621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01865	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_anginosus	0	0.10591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10947	0	0	0	0	0.06171	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis	0.06452	0.06335	0.06137	0	0.38689	0.0127	0	0.84105	3.44575	0.06606	0.35499	0.93091	0	1.05675	0.01672	0	0.11135	0	0.00255	0.03233	0.19511	0.00119	0.02285	0	0	0.26678	0.82665	0.15812	0.02551	0.06861	0	0.01793	0.31436	0.07151
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_constellatus	0	0	0	0	0.52427	0	0	0	0	0.0375	0	0	0	0	0.00834	0	0.0182	0	0	0	0	0	0	0	0	0	0	0.00426	0	0	0.19513	0.00746	0.05832	0.04798
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_cristatus	0.00682	0.35602	0.14961	0	0.01997	0.38184	0.17329	0.28287	0	0	0	0	0.00264	0	0.0012	0.03388	0	0.51944	0.011	0	0.00742	0.11588	0	0.23567	0.06446	0.01795	0.01416	0	0.10527	0	0	0.00064	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_gordonii	0.04361	0.4551	0.22134	1.47631	0.02944	0.23329	0.06417	0	0	0	0	0	0.07299	0.46965	0	0.06234	0	0.23651	0.08315	0.15341	0.01294	1.2807	0.07949	0.94497	0.0791	0.1737	1.18454	0.00114	0.10166	0.05898	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantis	1.02574	2.56413	0.40899	0.66207	2.2518	0.01495	0.01878	0.59329	2.49858	1.33832	2.17809	0	0	0.39352	3.08377	0	0.4824	0	0.11732	0.01099	3.58133	0.08951	0.08911	0.66079	0.01764	3.37756	4.59519	1.4598	0.07238	4.43654	1.32722	0.84975	2.44789	1.64065
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_intermedius	0.007	0.11141	0	0	0	0.69082	0.25506	0	0	0	0	0	0	0	0	0.71972	0	0	0.00169	0.02282	0.00042	0.497	0	0.07907	0.02386	0.01765	0.22419	0	0.44356	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis_oralis_pneumoniae	13.78239	9.27311	25.195	30.5294	0.05125	0.16111	0.05716	8.09199	7.48212	0.01559	0.01369	28.17487	0.00967	2.38082	0.0054	12.22432	0.00139	9.05607	0.21398	0.35648	0.03893	0.01791	1.39487	4.55561	0.02571	0.60109	1.00921	0.20142	0.00853	4.9278	0.03495	0.0032	0.22652	0.12364
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mutans	0	0	0	0	0	0.00687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01414	0	0.27293	0.29689	0.01581	0.91558	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oligofermentans	0.00556	0.31662	0.03311	0	0.01056	0.20156	0.04769	0	0	0	0	0	0	0	0	0	0	0.40919	0	0	0	0.01037	0	0	0.01933	0.00785	0.08031	0	0.01859	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis	0.50334	1.86611	0.0237	3.25262	3.58939	0.01627	0.0226	2.54269	0.43817	6.3819	6.89094	0	0	0	19.75664	0.06929	2.79789	1.65612	0.01733	0	12.69381	0	0.01718	5.06649	0	28.13915	0.48416	1.52939	0.0032	1.43852	8.12478	2.49986	6.74532	2.64692
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_peroris	0	0	0	0	0.01324	0	0	0	0	0.14362	0	0	0	0	0.07784	0	0.01847	0	0.00855	0	0.00553	0	0	0.38259	0	0.07811	0	0.01429	0	0	0	0.0022	0	0.00281
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius	0.79405	1.06602	0	4.09729	2.95857	0.00172	0.09374	1.34667	0.42969	1.50401	3.18158	0	0	0	6.97378	0	2.88917	1.41898	0.00682	0.00083	5.73018	0	0.0276	4.31801	0.00037	10.76624	0.68823	1.35964	0	0.11876	7.08194	3.38156	0.96493	2.6884
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sanguinis	1.65646	7.71645	0.78296	4.03844	0.02799	3.01875	6.58686	0.74062	1.08333	0.00751	0	4.19679	6.27985	5.90866	0.00971	10.08477	0	0.54619	3.64083	6.40181	0.0348	6.26825	0.62925	4.13587	4.25943	0.49055	10.76218	0.00926	3.53948	0.26685	0.0228	0.00506	0.06116	0.0047
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sobrinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.32773	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp_F0442	0	0	0	0	0.36261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.32973	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp_I_G2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.38391	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp_M143	0	0	0	0	0.40737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp_SK140	0	0	0	0	0.77325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8012	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp_oral_taxon_056	0	0	0	0	0	0	0.7924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus	0.08846	0	0	5.13285	0.03177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00029	0.00354	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_tigurinus	0	1.57036	0.35515	0	0.03054	0.07847	0.01338	0	0.05414	0	0.01024	0	0.20534	0.03952	0.00933	0	0.01023	0	0.00174	0	0.00963	0.03792	0.04889	0.34801	0.00533	0.15025	0.06472	0.00066	0.1024	0.01649	0	0.01399	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis	0.06336	0	0	0	0.09657	0	0.01314	0	0	0	0	0	0	0	0.05068	0	0	0	0	0	0.09931	0	0	4.68446	0	0.51254	0	0.07002	0	0	0	0.05169	0	0.03414
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_noname|s__Eubacterium_infirmum	0.09339	0	0.0292	0	0.81252	0	0	0	0	0.10643	0	0	0	0	0.0319	0	0.01737	0	0	0	0.05599	0	0	0	0	0	0.02512	0.04149	0.03848	0	0.00016	0.10577	0.03274	0.093
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Parvimonas|s__Parvimonas_micra	0	0	0.01022	0	0.05494	0	0.07123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06173	0	0	0	0	0.00176
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Parvimonas|s__Parvimonas_unclassified	0.01508	0	0.42797	0	0.68166	0.01481	0.25936	0.01202	0	0	0.03477	0	0	0	0	0.19171	0.09775	0	0	0	0.00207	0.03283	0	0	0	0.00344	0.00876	0.0006	0.58838	0.00128	0	0	0	0.17439
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacteriaceae_noname|s__Eubacteriaceae_bacterium_OBRC8	0	0	0	0	0.00194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00297
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_brachy	0.01839	0.26825	0	0	0	0.11771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00701	0	0	0.08469	0	0.00202	0	0	0.37014	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale	0	0	0	0	0.00033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques	0	0	0	0	0.01361	0	0	0	0	0	0	0	0	0	0	0	0.03959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Catonella|s__Catonella_morbi	0.0268	0.00464	0.00708	0	0.04773	0.06972	0	0	0	0	0	0	0	0	0.0068	0.13284	0.02273	0	0	0.02354	0.00262	0.01175	0	0	0.03944	0	0.00802	0	0.14421	0	0.00231	0.00357	0	0.0034
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Johnsonella|s__Johnsonella_ignava	0	0	0	0	0	0.04307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoanaerobaculum|s__Lachnoanaerobaculum_saburreum	0.07581	0.1442	0	0	0.0187	0.09963	0	0	0	0	0	0	0.02141	0	0.01806	0.10125	0.00722	0	0	0.04073	0.04536	0.01073	0	0	0.19803	0.00908	0.00782	0.00023	0.06072	0	0.00097	0.00149	0	0.01548
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_ICM7	0.2035	0.01094	0.09434	0	0.58288	0.1377	0.00063	0	0	0.04732	0.11824	0	0	0	0.00989	0	0.99642	0	0.0202	0	0.11257	0.05208	0	0	0.05405	0.02301	0.0689	0.24153	0.12951	0.02987	0	0.19077	0.11192	0.38241
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_oral_taxon_082	0.05779	0	0	0	1.13657	0.00055	0	0	0	0.69238	0	0	0	0	0.26217	0	0.18145	0	0	0	0.448	0	0	0	0.01084	0.02306	0.03932	0.00475	0	0	0.0939	0.4349	0.48971	0.244
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_oral_taxon_107	0	0	0.12986	0	0.02401	0.03181	0	0	0	0	0	0	0	0	0	0	0.01282	0	0	0.05462	0.015	0.01289	0	0	0.94716	0.01189	0.01735	0.00013	0.01345	0	0	0.00235	0	0.00083
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium_sinus	0.52924	0.20301	0.03625	0	2.04506	0	0	0.57093	0.29839	1.13322	0.85833	0	0	0	1.55156	0	0.87498	0.01279	0.0016	0	1.17833	0	0	0.4995	0	0.46504	0.45314	0.31888	0	0.02236	3.6885	0.38861	0.57055	0.68472
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium_sp_ACB1	0	0	0	0	0.26659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35907
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium_sp_ACB8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45598
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium_sp_oral_taxon_078	0	0	0	0	0	0.00625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00159	0	0.02024	0	0.0663	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Stomatobaculum|s__Stomatobaculum_longum	0.1215	0	0.01715	0	0.52789	0.02041	0	0	0	2.76618	0.04274	0	0	0	0.72329	0	0.40078	0	0.0011	0	0.93464	0	0	0.20311	0.00984	0.22974	0.08318	0.01676	0.00606	0.0067	0.01681	0.33425	0.68218	0.36209
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Eubacterium_yurii	0	0	0.04022	0	0.01319	0.25783	0.03129	0	0	0	0	0	0	0	0	0	0.00041	0	0.00434	0	0	0.01352	0	0	0.05577	0	0	0	0.11819	0	0	0	0	0.00172
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_stomatis	0.04318	0	0.05165	0	0.16009	0	0	0	0	0.05304	0	0	0	0	0.00848	0	0.12139	0	0	0	0.00925	0	0	0	0	0	0.03903	0.0275	0.13032	0	0	0.00904	0	0.07142
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_unclassified	0.1266	0.07384	0.14859	0	0.29546	0	0	0	0	0.12588	0.12638	0	0	0	0.06007	0	0.27909	0	0	0	0.02446	0	0	0	0	0.00292	0.11994	0.04973	0	0	0	0.01743	0.09206	0.14269
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified	0	0.06021	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19591	0.00407	0	0	0	0	0	0	0	0	0	0	0.00121	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Bulleidia|s__Bulleidia_extructa	0	0	0	0	0	0	0.00682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium|s__Solobacterium_moorei	0.33828	0	0.08345	0	1.13454	0	0	0	0	0.76002	0.10543	0	0	0	0.89709	0	0.44456	0	0	0	0.41462	0	0	0.06356	0	0.05842	0.17883	0.07072	0.17178	0.00061	0.06138	0.65202	0.49672	0.73484
