	SRR059875	SRR059905	SRR060041	SRR060389	SRR061249	SRR061251	SRR061257	SRR062389	SRR1031063	SRR1031677	SRR1564324	SRR1565744	SRR1803853	SRR1803859	SRR1804260	SRR1804274	SRR1804292	SRR1804378	SRR1804718	SRR1804818	SRR1952524	SRR1952532	SRR1952557	SRR1952578	SRR2175813	SRR346700	SRR513376	SRR513802	SRR513813	SRR514204	SRR514244	SRR514849	SRR533811	SRR628262
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34769	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ph3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10957	0	0	0	0	0	0	0	0	0	0	0.9044	0	0	0	0	0	0.16948	0	0.39751
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_timonensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00367	0	0	0	0.49326	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_viscosus	0.01857	0.22402	0.02515	0.36084	0	0.35192	1.03419	0	0.05989	0.00399	0	0	1.18091	0.21855	0.00343	0.48959	0	0.40155	0.08603	0.69547	0.05272	2.11508	0.15463	11.41444	0.29466	0.04911	0.21868	0.01387	1.55707	0.20661	0.00049	0.00069	0.01421	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00436	0	0	0.00514	0	0	0.00725
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_durum	0.05835	0.17686	0.01499	0	0.00846	6.59539	4.28312	0	0	0	0	0	1.5595	1.47279	0	0.57695	0	0	6.27696	5.21836	0.02457	0.56127	0	0.1235	1.60496	0.094	0.089	0	4.78782	0.02814	0.00058	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_matruchotii	0.16497	3.70017	0.21175	0	0	19.74137	13.41589	0	0.10448	0	0	0	18.52116	0.24091	0.00815	11.51583	0	0.13666	0.58558	15.05907	0.02822	6.55079	0.12159	0.99656	20.35677	0.20052	0.41219	0	11.44614	0	0	0.00102	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_aeria	0.18296	1.65349	0.3018	0	0	5.11024	5.01437	0.3385	1.08871	0	0	0	1.14031	7.05488	0	3.03996	0	0	5.51394	2.29275	0.01583	8.18028	0.06683	0.05167	0.98363	0.05115	0.3777	0	4.30639	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa	0.26102	2.29759	0.10304	0.94554	0.05773	14.49462	19.75966	0.9048	0.20517	0.00479	0	2.59899	3.27412	15.31504	0.00897	3.36871	0	3.32904	20.78502	13.16214	0.11019	6.64113	0.87492	5.03759	5.22828	0.44177	1.13091	0.07516	2.33512	8.773	0.00613	0.00459	0.07749	0.01507
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	0.4149	1.43004	0.26967	0.28585	1.19826	0.16882	0.00605	0.54033	5.41636	5.69594	10.3318	12.08531	0.03399	0.03837	14.52803	0.0894	0.06823	1.1317	0.02765	0.84734	7.78713	0.00834	0.22511	3.9789	0	9.22705	0.92568	20.56516	0.04213	7.0391	10.07422	0.34721	7.87341	6.56381
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_propionicum	0	0	0	0	0	2.40136	0.87169	0	0	0	0	0	3.89742	0	0	0.07858	0	0	0.04786	0.01274	0	0.49709	0	0	1.13774	0	0	0	2.65248	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08093	0	0	0.05585	0	0.00899	0	0	0	0	0	0	0	0
