	Gender	Cavities	Oral_infections	Dental_devices	Nonantibiotic_medications	Missing_teeth	Adenoids_tonsils_removed	Alcohol_consumption	Coffee_consumption	Dietary_restrictions	Toothpaste_brand	Toothbrush_age	Toothbrushing_freq	Toothbrush_storage_location	Nearby_toothbrush	Floss_freq	Mouthwash_freq	Bathroom_window	Window_open_freq	Pets
Gender	0.0	0.85976908006	0.964213588697	0.951164999083	0.9018057716	0.991158778535	0.991158778535	0.997245310157	0.999449934727	0.946519049179	0.899556916988	0.924235081574	0.97154527362	0.906838181975	0.989215105035	0.959326679833	0.906467503777	0.855048118084	0.849356567536	0.997005057227
Cavities	0.85976908006	0.0	0.956228687529	0.974011242076	0.963341615677	0.871053982434	0.961592136691	0.930831872023	0.880817464967	0.928358452977	0.90169033536	0.93709257107	0.916820882055	0.955691233633	0.963556758576	0.884984096662	0.908439966158	0.881172266176	0.810552032899	0.934052394814
Oral_infections	0.964213588697	0.956228687529	0.0	0.952875392222	0.919251939314	0.997434486619	0.958454171941	0.998577982898	0.985309423688	0.978908283649	0.993639956313	0.974782489705	0.98314290847	0.992369761606	0.999452641232	0.915585420432	0.873132985173	0.973670314976	0.774987924835	0.984232834539
Dental_devices	0.951164999083	0.974011242076	0.952875392222	0.0	0.893693748305	0.904438965658	0.730477092628	0.89117029019	0.91404770431	0.9638136614	0.931906373776	0.904934947968	0.977228269913	0.912786465247	0.999780822107	0.902666881967	0.901092965791	0.957269125103	0.938068495528	0.906692327183
Nonantibiotic_medications	0.9018057716	0.963341615677	0.919251939314	0.893693748305	0.0	0.978304864482	0.99352417259	0.938349588938	0.991557783813	0.949017837903	0.943224203692	0.938538079694	0.978830742624	0.938249550026	0.968754487374	0.91915528743	0.784049035091	0.973453007379	0.938838657825	1.0
Missing_teeth	0.991158778535	0.871053982434	0.997434486619	0.904438965658	0.978304864482	0.0	0.981989961308	0.98963266019	0.999568621938	0.997434486619	0.962697402113	0.959852205102	0.970050636191	0.904899249469	0.893471218102	0.88221567206	0.943466790882	0.982965365736	0.935012827693	0.947452848801
Adenoids_tonsils_removed	0.991158778535	0.961592136691	0.958454171941	0.730477092628	0.99352417259	0.981989961308	0.0	0.93594434001	0.990378557314	0.991824237532	0.945894372594	0.989553453501	0.912647144582	0.981554152801	0.996811546625	0.959013075385	0.983892241601	0.946765819231	0.916717677486	0.987074063673
Alcohol_consumption	0.997245310157	0.930831872023	0.998577982898	0.89117029019	0.938349588938	0.98963266019	0.93594434001	0.0	0.847346474988	0.998577982898	0.958879797558	0.910922104017	0.943448141077	0.894252655317	0.99995922624	0.974882956108	0.989948039036	0.884554194192	0.898743167462	1.0
Coffee_consumption	0.999449934727	0.880817464967	0.985309423688	0.91404770431	0.991557783813	0.999568621938	0.990378557314	0.847346474988	0.0	0.980210084316	0.979936894	0.914376532249	0.979232100393	0.900750223442	0.995739185363	0.968493116343	0.983657167172	0.921739806277	0.872798319088	0.997300738444
Dietary_restrictions	0.946519049179	0.928358452977	0.978908283649	0.9638136614	0.949017837903	0.997434486619	0.991824237532	0.998577982898	0.980210084316	0.0	0.847662805118	0.937968102641	0.999528212385	0.965500966057	0.976231148359	0.949520888518	0.951240264771	0.895574739691	0.838833472468	0.984232834539
Toothpaste_brand	0.899556916988	0.90169033536	0.993639956313	0.931906373776	0.943224203692	0.962697402113	0.945894372594	0.958879797558	0.979936894	0.847662805118	0.0	0.955327828639	0.993194947066	0.912380430117	0.989612796648	0.97002221086	0.975820290932	0.957877413256	0.899888897456	0.98634346395
Toothbrush_age	0.924235081574	0.93709257107	0.974782489705	0.904934947968	0.938538079694	0.959852205102	0.989553453501	0.910922104017	0.914376532249	0.937968102641	0.955327828639	0.0	0.900963685077	0.848346772566	0.956897843138	0.955583360544	0.873959201865	0.854912850496	0.756721088981	0.846768535277
Toothbrushing_freq	0.97154527362	0.916820882055	0.98314290847	0.977228269913	0.978830742624	0.970050636191	0.912647144582	0.943448141077	0.979232100393	0.999528212385	0.993194947066	0.900963685077	0.0	0.948137180866	0.925874973105	0.877038642561	0.924810969651	0.820163995211	0.851238505956	0.956859396775
Toothbrush_storage_location	0.906838181975	0.955691233633	0.992369761606	0.912786465247	0.938249550026	0.904899249469	0.981554152801	0.894252655317	0.900750223442	0.965500966057	0.912380430117	0.848346772566	0.948137180866	0.0	0.990269341905	0.940172891957	0.96132789052	0.824603792453	0.760973323328	0.988917710497
Nearby_toothbrush	0.989215105035	0.963556758576	0.999452641232	0.999780822107	0.968754487374	0.893471218102	0.996811546625	0.99995922624	0.995739185363	0.976231148359	0.989612796648	0.956897843138	0.925874973105	0.990269341905	0.0	0.953224419387	0.671265930434	0.976799749414	0.973701884313	0.954172254101
Floss_freq	0.959326679833	0.884984096662	0.915585420432	0.902666881967	0.91915528743	0.88221567206	0.959013075385	0.974882956108	0.968493116343	0.949520888518	0.97002221086	0.955583360544	0.877038642561	0.940172891957	0.953224419387	0.0	0.872824069278	0.93648154935	0.90393896956	0.971147062714
Mouthwash_freq	0.906467503777	0.908439966158	0.873132985173	0.901092965791	0.784049035091	0.943466790882	0.983892241601	0.989948039036	0.983657167172	0.951240264771	0.975820290932	0.873959201865	0.924810969651	0.96132789052	0.671265930434	0.872824069278	0.0	0.932081146867	0.934973856527	0.989481472019
Bathroom_window	0.855048118084	0.881172266176	0.973670314976	0.957269125103	0.973453007379	0.982965365736	0.946765819231	0.884554194192	0.921739806277	0.895574739691	0.957877413256	0.854912850496	0.820163995211	0.824603792453	0.976799749414	0.93648154935	0.932081146867	0.0	0.261121319518	0.884619974596
Window_open_freq	0.849356567536	0.810552032899	0.774987924835	0.938068495528	0.938838657825	0.935012827693	0.916717677486	0.898743167462	0.872798319088	0.838833472468	0.899888897456	0.756721088981	0.851238505956	0.760973323328	0.973701884313	0.90393896956	0.934973856527	0.261121319518	0.0	0.908934987887
Pets	0.997005057227	0.934052394814	0.984232834539	0.906692327183	1.0	0.947452848801	0.987074063673	1.0	0.997300738444	0.984232834539	0.98634346395	0.846768535277	0.956859396775	0.988917710497	0.954172254101	0.971147062714	0.989481472019	0.884619974596	0.908934987887	0.0
